made of metal and artificial and hard,"metallic, metal, tools"
food-related andeating-related and kitchen-related,"food, edible, carbs"
animal-related and organic,"mammals, animal, animals, wild animals"
clothing-related and fabric and covering,"blue, accessories, clothes, clothing"
furniture-related and household-related and artifact,"furniture"
plant-related and green,"plants, vegetables, green, green plants, greenness"
outdoors-related,"backyard, garden"
transportation and motorized and dynamic,"wheels, vehicles, cars, car, transportation"
wood-related and brown,"wood"
body part-related,"skin, body, body parts"
colorful,"color, colorful, colors"
valuable special occasion-related,"silver, royal, royalty, gold"
electronic and technology,"electronics, technology, electronic, technological"
sport-related and recreation-related,"sports, sport"
disc-shaped and round,"circles, shape, targets, circular, round"
tool-related,"sharp tools, jagged, tools, hand tools, sharp"
many small things and coarse pattern,"patterns, piles"
paper-related and thin and flat and text-related,"books, paper"
fluid-related and drink-related,"glasses, liquid, drinks, liquids, containers, containers for liquids"
long and thin,"thin, long, sticks, cylindrical, straight"
water-related and blue,"marine, sea, water, ocean"
powdery and fine-scale pattern,"small, dirt, grainy"
red,"red, color"
feminine (stereotypically) and decorative,"pink, flowery, feminine, flowers"
bathroom-related and sanitary,"cleaning, bathroom, hygiene"
black and noble,"black, accessories"
weapon and danger-related and violence,"violence, dangerous, weapons, war, military"
musical instrument-related and noise-related,"musical instruments, listen, musical, instruments, music, musical instruments"
sky-related and flying-related and floating-related,"air, flight, fly, flying"
spherical and ellipsoid and rounded and voluminous,"balls, circular, round, spherical"
repetitive,"strings, long, rope"
flat and patterned,"patterns,pattern, patterned, rectangles"
white,"white, winter"
thin and flat,"winter, paper"
disgusting and bugs,"insects, bugs"
string-related,"coil, tied, bands, rope, chained, ropes"
arms and legs and skin-related,"limbs, hands, feet, legs, body parts"
shiny and tranparent,"shiny, jewels"
construction-related and physical work-related,"construction, long"
fire-related and heat-related,"light, fire, heat"
head-related and face-related,"facial, eyes, face, head"
beams-related,"tall, big"
eating-related and put things on top,"wheels, can sit on"
container-related and hollow,"containers, hold other things"
child-related and toy-related,"young, toys, baby, children"
medicine-related,"hospital, health, medicine, medical"
has grating,"patterns, mesh, nets, repeating patterns"
handicraft-related,"candles, crafts"
cylindrical and conical,"cylindrical, colorful, yellow"